name, desc, gmina, powiat, wojew
Bartkowizna,kolonia,Miastkowo,łomżyński,podlaskie
Bartków,wieś,Dobroszyce,oleśnicki,dolnośląskie
Bartkówka,część wsi Nowa Jastrząbka,Lisia Góra,tarnowski,małopolskie
Bartlewo,przysiółek wsi Iznota,Ruciane-Nida,piski,warmińsko-mazurskie
Bartne,wieś,Sękowa,gorlicki,małopolskie
Bartnia Łąka,część wsi Brandwica,Pysznica,stalowowolski,podkarpackie
Bartniki,wieś,Brodnica,brodnicki,kujawsko-pomorskie
Bartno,przysiółek osady Sasiny,Małdyty,ostródzki,warmińsko-mazurskie
Bartodzieje,wieś,Obryte,pułtuski,mazowieckie
Bartodzieje Małe,część miasta Bydgoszcz,Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
Bartodzieje-Kolonia,część wsi Bartodzieje,Jastrzębia,radomski,mazowieckie
Bartołty Małe,wieś,Barczewo,olsztyński,warmińsko-mazurskie
Bartosy,część wsi Bartodzieje,Jastrzębia,radomski,mazowieckie
Bartoszewice,kolonia,Płużnica,wąbrzeski,kujawsko-pomorskie
Bartoszka,część wsi Sikory,Rypin,rypiński,kujawsko-pomorskie
Bartoszowa,wieś,Borów,strzeliński,dolnośląskie
Bartoszówek,wieś,Strzegom,świdnicki,dolnośląskie
Bartoszówka,przysiółek wsi Ochotnica Górna,Ochotnica Dolna,nowotarski,małopolskie
Bartoszylas,wieś,Stara Kiszewa,kościerski,pomorskie
Bartyzele,przysiółek wsi Zawoja,Zawoja,suski,małopolskie
Barutka,część wsi Rychwałdek,Świnna,żywiecki,śląskie
Barwice,miasto,Barwice,szczecinecki,zachodniopomorskie
Barwinek,kolonia kolonii Gembartówka,Kodrąb,radomszczański,łódzkie
Barwinek,przysiółek wsi Belno,Bieliny,kielecki,świętokrzyskie
Barycz,wieś,Mściwojów,jaworski,dolnośląskie
Barycz,część wsi Wola Libertowska,Żarnowiec,zawierciański,śląskie
Barycz Stara,wieś,Zwoleń,zwoleński,mazowieckie
Barzowice,wieś,Darłowo,sławieński,zachodniopomorskie
Basakówka,część wsi Rakszawa,Rakszawa,łańcucki,podkarpackie
Basie,część wsi Czajków,Czajków,ostrzeszowski,wielkopolskie
Basiówka,część wsi Tarnawa Dolna,Zembrzyce,suski,małopolskie
Bastacicha,część wsi Otylin,Wojcieszków,łukowski,lubelskie
Baszków,część wsi Jakubice,Warta,sieradzki,łódzkie
Basznia Dolna,wieś,Lubaczów,lubaczowski,podkarpackie
Baszyny,wieś,Krotoszyn,krotoszyński,wielkopolskie
Batkowo,wieś,Inowrocław,inowrocławski,kujawsko-pomorskie
Batorowo,wieś,Tarnowo Podgórne,poznański,wielkopolskie
